Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20
6/29/10,19,25,17.540001,23.889999,23.889999,18766300,,,
6/30/10,25.790001,30.42,23.299999,23.83,23.83,17187100,,,
7/1/10,25,25.92,20.27,21.959999,21.959999,8218800,,,
7/2/10,23,23.1,18.709999,19.200001,19.200001,5139800,,,
7/6/10,20,20,15.83,16.110001,16.110001,6866900,20.998,,
7/7/10,16.4,16.629999,14.98,15.8,15.8,6921700,19.3800002,,
7/8/10,16.139999,17.52,15.57,17.459999,17.459999,7711400,18.106,,
7/9/10,17.58,17.9,16.549999,17.4,17.4,4050600,17.1940002,,
7/12/10,17.950001,18.07,17,17.049999,17.049999,2202500,16.7639998,,
7/13/10,17.389999,18.639999,16.9,18.139999,18.139999,2680100,17.1699994,19.0839997,
7/14/10,17.940001,20.15,17.76,19.84,19.84,4195200,17.9779994,18.6789998,
7/15/10,19.940001,21.5,19,19.889999,19.889999,3739800,18.4639994,18.2849997,
7/16/10,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,19.1119992,18.1529997,
7/19/10,21.370001,22.25,20.92,21.91,21.91,2486500,20.0839994,18.4239996,
7/20/10,21.85,21.85,20.049999,20.299999,20.299999,1825300,20.5159994,18.8429994,
7/21/10,20.66,20.9,19.5,20.219999,20.219999,1252500,20.5919992,19.2849993,
7/22/10,20.5,21.25,20.370001,21,21,957800,20.8139994,19.6389994,
7/23/10,21.190001,21.559999,21.059999,21.290001,21.290001,653600,20.9439998,20.0279995,
7/26/10,21.5,21.5,20.299999,20.950001,20.950001,922200,20.752,20.4179997,
7/27/10,20.91,21.18,20.26,20.549999,20.549999,619700,20.802,20.6589997,19.8714997
7/28/10,20.549999,20.9,20.51,20.719999,20.719999,467200,20.902,20.7469996,19.7129997
7/29/10,20.77,20.879999,20,20.35,20.35,616000,20.772,20.7929997,19.5389997
7/30/10,20.200001,20.440001,19.549999,19.940001,19.940001,426900,20.502,20.7229999,19.4379998
8/2/10,20.5,20.969999,20.33,20.92,20.92,718100,20.4959998,20.6239999,19.52399975
8/3/10,21,21.950001,20.82,21.950001,21.950001,1230500,20.7760002,20.7890001,19.81599975
8/4/10,21.950001,22.18,20.85,21.26,21.26,913000,20.8840004,20.8930002,20.08899975
8/5/10,21.540001,21.549999,20.049999,20.450001,20.450001,796200,20.9040006,20.8380003,20.23849985
8/6/10,20.1,20.16,19.52,19.59,19.59,741900,20.8340004,20.6680002,20.34799985
8/9/10,19.9,19.98,19.450001,19.6,19.6,812700,20.5700004,20.5330001,20.4754999
